ReaxFF version 2.0
Compiled on:        Tue Sep 27 02:24:13 PDT 2016
Force field identifier: Reactive MD-force field                 
Geometry identifier: CC-ref                                  
 ewh   1.32503783937313317E-055
 ewh   2.82882971691046021E-030
 ewh   1.32503768641216403E-055
 ewh   4.68026854558371804E-047
 ewh   4.62157847446873253E-064
 ewh   6.35243116376306522E-055
 ewh   2.82306219623715665E-060
 ewh   9.14687888245194651E-038
 ewh   2.82306280181432599E-060
 ewh   1.55356907246456524E-050
 ewh   1.03065356777130913E-020
 ewh   1.55356926799567418E-050
 ewh   5.75947009404940397E-045
 ewh   5.75947009404940397E-045
 ewh   5.76585347006819886E-045
 ewh   5.76585266448540827E-045
 ewh   1.55822681109660996E-050
 ewh   1.03725374157482297E-020
 ewh   1.55822641885294808E-050
 ewh   2.83509098507650610E-060
 ewh   9.20613666189302087E-038
 ewh   2.83509007281503587E-060
 ewh   6.39371868919622094E-055
 ewh   8.34793813841203743E-050
 ewh   5.52883247675286962E-058
 ewh   3.37613472357516314E-034
 ewh   5.52883247675286962E-058
 ewh   1.55361840798122840E-050
 ewh   1.03072308558064720E-020
 ewh   1.55361821244389084E-050
 ewh   8.07715109805164172E-048
 ewh   2.82878959168693506E-014
 ewh   8.07714896155441698E-048
 ewh   1.58250121994491376E-050
 ewh   1.07202485697413638E-020
 ewh   1.58250062234232195E-050
 ewh   5.71162545077826003E-058
 ewh   3.55621494813306483E-034
 ewh   5.71162291150862576E-058
 ewh   8.82872378488717964E-050
 ewh   4.58860463940468098E-064
 ewh   8.34820566579292256E-050
 ewh   2.82321499440522102E-060
 ewh   9.14762785018300893E-038
 ewh   2.82321438879532378E-060
 ewh   1.36069609091842763E-055
 ewh   2.95992707855655424E-030
 ewh   1.36069561959784364E-055
 ewh   1.38261797936341691E-055
 ewh   3.04176304328078978E-030
 ewh   1.38261734073917570E-055
 ewh   2.95181456838560283E-060
 ewh   9.78804844576849568E-038
 ewh   2.95181298493102765E-060
 ewh   9.11871139110882476E-050
 ewh   5.06257625564350535E-064
 ewh   6.35299027794567487E-055
 ewh   4.90198254306112723E-047
 ewh   4.02702455340011640E-044
 ewh   5.17750336329972026E-047
 ewh   6.98702982792080392E-055
 ewh   4.84224138763158409E-064
 ewh   1.26875358461988831E-059
 ewh   1.30625908750878038E-059
 ewh   5.25534026575108551E-064
 ewh   3.49929912257015478E-064
 ewh   3.49950045467829702E-064
 ewh   3.32643012274967835E-064
 ewh   3.32662128017265838E-064
 ewh   9.17574918014181285E-060
 ewh   9.17631278448897318E-060
 ewh   1.43262661902355737E-052
 ewh   1.43272540686004706E-052
 ewh   5.55172494534969892E-050
 ewh   5.55212523657942520E-050
 ewh   1.28895917041470464E-052
 ewh   1.28904782506920317E-052
 ewh   7.60275211405551702E-060
 ewh   7.60321687552942483E-060
 ewh   4.75415916757059256E-055
 ewh   4.75447359844349173E-055
 ewh   2.53525632067819465E-044
 ewh   2.53545983336351788E-044
 ewh   5.40927218246477552E-038
 ewh   5.40976897699334859E-038
 ewh   5.09459801315731564E-038
 ewh   5.09506521593761232E-038
 ewh   2.16698956145868706E-044
 ewh   2.16716281575487842E-044
 ewh   3.83318840971104925E-055
 ewh   3.83344042447393152E-055
 ewh   4.74228525311102921E-055
 ewh   4.74259861681268433E-055
 ewh   2.99668937931549434E-041
 ewh   2.99694547670568701E-041
 ewh   1.56022207868033659E-030
 ewh   1.56039478724154709E-030
 ewh   3.45684098385841839E-026
 ewh   3.45727553256364469E-026
 ewh   1.38510795035777722E-030
 ewh   1.38526078530946362E-030
 ewh   2.49395952458082100E-041
 ewh   2.49417154564624609E-041
 ewh   3.83320548396644691E-055
 ewh   3.83345705396975519E-055
 ewh   9.11209761533423263E-060
 ewh   9.11265580663502656E-060
 ewh   2.56686572692463328E-044
 ewh   2.56707143587750360E-044
 ewh   1.59383500477279765E-030
 ewh   1.59401132345316867E-030
 ewh   4.32073581489442891E-021
 ewh   4.32138203314665115E-021
 ewh   4.05559445505981503E-021
 ewh   4.05619985822499574E-021
 ewh   1.38511830486119052E-030
 ewh   1.38527087055103736E-030
 ewh   2.16701301692380288E-044
 ewh   2.16718566056683962E-044
 ewh   7.60284641200088955E-060
 ewh   7.60330871671091484E-060
 ewh   1.46342463035552525E-052
 ewh   1.46352520234473800E-052
 ewh   5.70377979677929753E-038
 ewh   5.70430252864065470E-038
 ewh   3.73533244151929688E-026
 ewh   3.73580166484955962E-026
 ewh   4.32077959508519869E-021
 ewh   4.32142467658113022E-021
 ewh   3.45689981262127067E-026
 ewh   3.45733283241974777E-026
 ewh   5.09469280525827244E-038
 ewh   5.09515754126205617E-038
 ewh   1.28898313272694846E-052
 ewh   1.28907116326545122E-052
 ewh   3.59361973710283525E-064
 ewh   3.59382543833328060E-064
 ewh   5.95014646764851994E-050
 ewh   5.95057382630762257E-050
 ewh   5.70381521195745467E-038
 ewh   5.70433702221267550E-038
 ewh   1.59385887477646002E-030
 ewh   1.59403457273794109E-030
 ewh   1.56025711974056170E-030
 ewh   1.56042891708814130E-030
 ewh   5.40940645904368767E-038
 ewh   5.40989975929779533E-038
 ewh   5.55186006882210977E-050
 ewh   5.55225684109565508E-050
 ewh   3.32650748827019223E-064
 ewh   3.32669662978285708E-064
 ewh   3.59363367362547268E-064
 ewh   3.59383901171284736E-064
 ewh   1.46343824603187161E-052
 ewh   1.46353846339168049E-052
 ewh   2.56690746399515520E-044
 ewh   2.56711208634591200E-044
 ewh   2.99675859900498387E-041
 ewh   2.99701289465688801E-041
 ewh   2.53532501882357941E-044
 ewh   2.53552674298916333E-044
 ewh   1.43266660044720234E-052
 ewh   1.43276434694032897E-052
 ewh   3.49939410310815115E-064
 ewh   3.49959296031363991E-064
 ewh   9.11224848830907570E-060
 ewh   9.11280274889581172E-060
 ewh   4.74239103328829616E-055
 ewh   4.74270164158045860E-055
 ewh   4.75428642417501101E-055
 ewh   4.75459754021080006E-055
 ewh   9.17601506613961546E-060
 ewh   9.17657174332337591E-060
Geometry identifier: CC-70296                                
 ewh   3.44842868254905139E-061
 ewh   3.44802179664591512E-061
 ewh   6.00828486922083757E-059
 ewh   6.00755101121058365E-059
 ewh   3.13464118971975710E-061
 ewh   3.13427122907977484E-061
 ewh   3.58978351640494605E-061
 ewh   3.58935984117398053E-061
 ewh   1.32386350341797868E-051
 ewh   1.32368105817286485E-051
 ewh   3.56767109814090887E-046
 ewh   3.56712764091784028E-046
 ewh   3.38474418962047374E-046
 ewh   3.38422859612793639E-046
 ewh   1.14760906978168988E-051
 ewh   1.14745087556595678E-051
 ewh   2.92735796644801274E-061
 ewh   2.92701216389097194E-061
 ewh   6.52921629402894873E-059
 ewh   6.52841836270734940E-059
 ewh   3.75743440909466531E-046
 ewh   3.75686179675486874E-046
 ewh   1.07193831403139914E-036
 ewh   1.07173837145934823E-036
 ewh   4.73747831124241266E-033
 ewh   4.73651094004286614E-033
 ewh   9.63142576417578835E-037
 ewh   9.62962964823984770E-037
 ewh   3.15445219359123363E-046
 ewh   3.15397132487306996E-046
 ewh   5.28979666711813900E-059
 ewh   5.28914939977704753E-059
 ewh   3.53598221752774763E-061
 ewh   3.53556456243956692E-061
 ewh   3.75429985871704933E-046
 ewh   3.75372747424563423E-046
 ewh   5.07804424376836079E-033
 ewh   5.07700652164598412E-033
 ewh   2.19630573825199869E-024
 ewh   2.19572749894574346E-024
 ewh   2.06816643188643732E-024
 ewh   2.06762216111279029E-024
 ewh   4.41468573439381485E-033
 ewh   4.41378379195765489E-033
 ewh   3.15425253650932327E-046
 ewh   3.15377127259179674E-046
 ewh   2.92707069422970130E-061
 ewh   2.92672431303449341E-061
 ewh   1.32086817052713944E-051
 ewh   1.32068589882560127E-051
 ewh   1.09332339110467237E-036
 ewh   1.09311923744818433E-036
 ewh   2.26161351054983592E-024
 ewh   2.26101756062973327E-024
 ewh   6.02936764236478438E-019
 ewh   6.02742717604421307E-019
 ewh   2.06794044273460634E-024
 ewh   2.06739575030002872E-024
 ewh   9.62993364899594140E-037
 ewh   9.62813463158368060E-037
 ewh   1.14741186022709806E-051
 ewh   1.14725327274962216E-051
 ewh   3.43729570464952973E-061
 ewh   3.43688924041620323E-061
 ewh   3.68471058139636001E-046
 ewh   3.68414814748327827E-046
 ewh   5.07193856720906138E-033
 ewh   5.07090072861069888E-033
 ewh   2.26136606343838726E-024
 ewh   2.26076965190706252E-024
 ewh   2.19582536536716749E-024
 ewh   2.19524622987254888E-024
 ewh   4.73627236795305050E-033
 ewh   4.73530267374383415E-033
 ewh   3.38388683320242127E-046
 ewh   3.38336954274530641E-046
 ewh   3.13387187078521064E-061
 ewh   3.13350036058516654E-061
 ewh   6.24623582218472864E-059
 ewh   6.24547066898334951E-059
 ewh   3.68447705836549431E-046
